CONGRESS 2012 to 2020 in ALASKA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arkansas,N/A,2016,District 1,1,20120101,"183,866","Crawford, Rick",Incumbent,N/A,N/A,N/A,Libertarian,"57,181","West, Mark",Challenger,N/A,"126,685",R,23.72,100,0,
House,Arkansas,N/A,2014,District 1,1,20120101,"124,139","Crawford, Rick",Incumbent,"63,555","McPherson, Jackie",Challenger,Libertarian,"8,562","Willhite, Brian Scott",Challenger,N/A,"60,584",R,4.36,66.14,33.86,
House,Arkansas,N/A,2012,District 1,1,20120101,"138,800","Crawford, Rick",Incumbent,"96,601","Ellington, Scott",Challenger,Libertarian,"6,427","Paxton, Jessica",Challenger,"5,015","42,199",R,2.6,58.96,41.04,"The other vote was: Holloway, Jacob (Green) 5,015"
House,Arkansas,N/A,2018,District 2,2,20120101,"132,125","Hill, French",Incumbent,"116,135","Tucker, Clarke",Challenger,Libertarian,"5,193","Swafford, Joe Ryne",Challenger,N/A,"15,990",R,2.05,53.22,46.78,
House,Arkansas,N/A,2016,District 2,2,20120101,"176,472","Hill, French",Incumbent,"111,347","Curry, Dianne",Challenger,Libertarian,"14,342","Hayes, Chris",Challenger,303,"65,125",R,4.74,61.31,38.69,The other vote was: Write-In (Write-in) 303
House,Arkansas,N/A,2014,District 2,2,20120101,"123,073","Hill, French",Challenger,"103,477","Hays, Patrick",Challenger,Libertarian,"10,780","Standiford, Debbie",Challenger,N/A,"19,596",R,4.54,54.32,45.68,
House,Arkansas,N/A,2012,District 2,2,20120101,"158,175","Griffin, Tim",Incumbent,"113,156","Rule, Herb",Challenger,Green,"8,566","Ward, Barbara",Challenger,"6,701","45,019",R,2.99,58.3,41.7,"The other vote was: Hayes, Chris (Libertarian) 6,701"
House,Arkansas,N/A,2018,District 3,3,20120101,"148,717","Womack, Steve",Incumbent,"74,952","Mahony, Joshua",Challenger,Libertarian,"5,899","Kalagias, Michael J.",Challenger,140,"73,765",R,2.57,66.49,33.51,The other vote was: Write-In (Write-in) 140
House,Arkansas,N/A,2016,District 3,3,20120101,"217,192","Womack, Steve",Incumbent,N/A,N/A,N/A,Libertarian,"63,715","Isaacson, Steve",Challenger,N/A,"153,477",R,22.68,100,0,
House,Arkansas,N/A,2014,District 3,3,20120101,"151,630","Womack, Steve",Incumbent,N/A,N/A,N/A,Libertarian,"39,305","Brand, Grant",Challenger,N/A,"112,325",R,20.59,100,0,
House,Arkansas,N/A,2012,District 3,3,20120101,"186,467","Womack, Steve",Incumbent,N/A,N/A,N/A,Green,"39,318","Kennedy, Rebekah",Challenger,"19,875","147,149",R,16.01,100,0,"The other vote was: Pangrac, David (Libertarian) 19,875"
House,Arkansas,N/A,2018,District 4,4,20120101,"136,740","Westerman, Bruce",Incumbent,"63,984","Shamel, Hayden",Challenger,Libertarian,"3,952","Canada, Tom",Challenger,216,"72,756",R,1.93,68.12,31.88,The other vote was: Write-In (Write-in) 216
House,Arkansas,N/A,2016,District 4,4,20120101,"182,885","Westerman, Bruce",Incumbent,N/A,N/A,N/A,Libertarian,"61,274","Hicks, Kerry",Challenger,N/A,"121,611",R,25.1,100,0,
House,Arkansas,N/A,2014,District 4,4,20120101,"110,789","Westerman, Bruce",Challenger,"87,742","Witt, James Lee",Challenger,Libertarian,"7,598","Hamilton, Ken",Challenger,2,"23,047",R,3.69,55.8,44.2,The other vote was: Write-In (Write-in) 2
House,Arkansas,N/A,2012,District 4,4,20120101,"154,149","Cotton, Tom",Challenger,"95,013","Jeffress, Gene",Challenger,Libertarian,"4,984","Tullis, Bobby",Challenger,"4,807","59,136",R,1.92,61.87,38.13,"The other vote was: Drake, Josh (Green) 4,807"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,California,N/A,2018,District 1,1,20120101,"160,046","LaMalfa, Doug",Incumbent,"131,548","Denney, Audrey",Challenger,N/A,N/A,N/A,N/A,N/A,"28,498",R,0,54.89,45.11,
House,California,N/A,2016,District 1,1,20120101,"185,448","LaMalfa, Doug",Incumbent,"128,588","Reed, Jim",Challenger,N/A,N/A,N/A,N/A,N/A,"56,860",R,0,59.05,40.95,
House,California,N/A,2014,District 1,1,20120101,"132,052","LaMalfa, Doug",Incumbent,"84,320","Hall, Heidi",Challenger,N/A,N/A,N/A,N/A,N/A,"47,732",R,0,61.03,38.97,
House,California,N/A,2012,District 1,1,20120101,"168,827","LaMalfa, Doug",Challenger,"125,386","Reed, Jim",Challenger,N/A,N/A,N/A,N/A,N/A,"43,441",R,0,57.38,42.62,"In the 2012 election, California instituted a ""top two"" primary, which sent the two highest vote-getters, regardless of party, on to the general election. In eight congressional districts, members of the same party were paired against each other in the November general election."
House,California,N/A,2018,District 2,2,20120101,"72,576","Mensing, Dale K.",Challenger,"243,081","Huffman, Jared",Incumbent,N/A,N/A,N/A,N/A,N/A,"170,505",D,0,22.99,77.01,
House,California,N/A,2016,District 2,2,20120101,"76,572","Mensing, Dale K.",Challenger,"254,194","Huffman, Jared",Incumbent,N/A,N/A,N/A,N/A,N/A,"177,622",D,0,23.15,76.85,
